sid,proto,source,src_port,arrow,destination,dst_port,classtype,direction,TActic,Technique,Tname,TA_inb,T_inb,TA_lat,T_lat,TA_out,T_out,msg,reference
220,tcp,$EXTERNAL_NET,any,->,$TELNET_SERVERS,23,misc-activity,inb,,,,,,,,,,"""MALWARE-BACKDOOR HideSource backdoor attempt""",
221,icmp,$EXTERNAL_NET,any,->,$HOME_NET,any,attempted-dos,inb,Initial Access,,,Initial Access,,,,,,"""PROTOCOL-ICMP TFN Probe""","['cve', '2000-0138']"
222,icmp,$EXTERNAL_NET,any,->,$HOME_NET,any,attempted-dos,inb,Initial Access,,,Initial Access,,,,,,"""PROTOCOL-ICMP tfn2k icmp possible communication""","['cve', '2000-0138']"
223,udp,$EXTERNAL_NET,any,->,$HOME_NET,"[(True, '31335'), (True, '35555')]",attempted-dos,inb,Initial Access,,,Initial Access,,,,,,"""MALWARE-OTHER Trin00 Daemon to Master PONG message detected""","['cve', '2000-0138']"
224,icmp,3.3.3.3/32,any,->,$EXTERNAL_NET,any,attempted-dos,out,Initial Access,,,,,,,Initial Access,,"""PROTOCOL-ICMP Stacheldraht server spoof""","['cve', '2000-0138']"
225,icmp,$HOME_NET,any,->,$EXTERNAL_NET,any,attempted-dos,out,Initial Access,,,,,,,Initial Access,,"""PROTOCOL-ICMP Stacheldraht gag server response""","['cve', '2000-0138']"
226,icmp,$HOME_NET,any,->,$EXTERNAL_NET,any,attempted-dos,out,Initial Access,,,,,,,Initial Access,,"""PROTOCOL-ICMP Stacheldraht server response""","['cve', '2000-0138']"
227,icmp,$EXTERNAL_NET,any,->,$HOME_NET,any,attempted-dos,inb,Initial Access,,,Initial Access,,,,,,"""PROTOCOL-ICMP Stacheldraht client spoofworks""","['cve', '2000-0138']"
228,icmp,$EXTERNAL_NET,any,->,$HOME_NET,any,attempted-dos,inb,Initial Access,,,Initial Access,,,,,,"""PROTOCOL-ICMP TFN client command BE""","['cve', '2000-0138']"
229,icmp,$EXTERNAL_NET,any,->,$HOME_NET,any,attempted-dos,inb,Initial Access,,,Initial Access,,,,,,"""PROTOCOL-ICMP Stacheldraht client check skillz""","['cve', '2000-0138']"
230,tcp,$HOME_NET,20432,->,$EXTERNAL_NET,any,attempted-dos,out,Initial Access,,,,,,,Initial Access,,"""MALWARE-OTHER shaft client login to handler""","['cve', '2000-0138']"
231,udp,$EXTERNAL_NET,any,->,$HOME_NET,31335,attempted-dos,inb,Initial Access,,,Initial Access,,,,,,"""MALWARE-OTHER Trin00 Daemon to Master message detected""","['cve', '2000-0138']"
232,udp,$EXTERNAL_NET,any,->,$HOME_NET,31335,attempted-dos,inb,Initial Access,,,Initial Access,,,,,,"""MALWARE-OTHER Trin00 Daemon to Master *HELLO* message detected""","['cve', '2000-0138']"
233,tcp,$EXTERNAL_NET,any,->,$HOME_NET,27665,attempted-dos,inb,Initial Access,,,Initial Access,,,,,,"""MALWARE-OTHER Trin00 Attacker to Master default startup password""","['cve', '2000-0138']"
234,tcp,$EXTERNAL_NET,any,->,$HOME_NET,27665,attempted-dos,inb,Initial Access,,,Initial Access,,,,,,"""MALWARE-OTHER Trin00 Attacker to Master default password""","['cve', '2000-0138']"
235,tcp,$EXTERNAL_NET,any,->,$HOME_NET,27665,attempted-dos,inb,Initial Access,,,Initial Access,,,,,,"""MALWARE-OTHER Trin00 Attacker to Master default mdie password""","['cve', '2000-0138']"
236,icmp,$EXTERNAL_NET,any,->,$HOME_NET,any,attempted-dos,inb,Initial Access,,,Initial Access,,,,,,"""PROTOCOL-ICMP Stacheldraht client check gag""","['cve', '2000-0138']"
237,udp,$EXTERNAL_NET,any,->,$HOME_NET,27444,attempted-dos,inb,Initial Access,,,Initial Access,,,,,,"""MALWARE-OTHER Trin00 Master to Daemon default password attempt""","['cve', '2000-0138']"
238,icmp,$HOME_NET,any,->,$EXTERNAL_NET,any,attempted-dos,out,Initial Access,,,,,,,Initial Access,,"""PROTOCOL-ICMP TFN server response""","['cve', '2000-0138']"
239,udp,$EXTERNAL_NET,any,->,$HOME_NET,18753,attempted-dos,inb,Initial Access,,,Initial Access,,,,,,"""MALWARE-OTHER shaft handler to agent""","['cve', '2000-0138']"
240,udp,$EXTERNAL_NET,any,->,$HOME_NET,20433,attempted-dos,inb,Initial Access,,,Initial Access,,,,,,"""MALWARE-OTHER shaft agent to handler""","['cve', '2000-0138']"
243,udp,$EXTERNAL_NET,any,->,$HOME_NET,6838,attempted-dos,inb,Initial Access,,,Initial Access,,,,,,"""MALWARE-OTHER mstream agent to handler""","['cve', '2000-0138']"
244,udp,$EXTERNAL_NET,any,->,$HOME_NET,10498,attempted-dos,inb,Initial Access,,,Initial Access,,,,,,"""MALWARE-OTHER mstream handler to agent""","['cve', '2000-0138']"
245,udp,$EXTERNAL_NET,any,->,$HOME_NET,10498,attempted-dos,inb,Initial Access,,,Initial Access,,,,,,"""MALWARE-OTHER mstream handler ping to agent""","['cve', '2000-0138']"
246,udp,$EXTERNAL_NET,any,->,$HOME_NET,10498,attempted-dos,inb,Initial Access,,,Initial Access,,,,,,"""MALWARE-OTHER mstream agent pong to handler""","['cve', '2000-0138']"
247,tcp,$EXTERNAL_NET,any,->,$HOME_NET,12754,attempted-dos,inb,Initial Access,,,Initial Access,,,,,,"""MALWARE-OTHER mstream client to handler""","['cve', '2000-0138']"
248,tcp,$HOME_NET,12754,->,$EXTERNAL_NET,any,attempted-dos,out,Initial Access,,,,,,,Initial Access,,"""MALWARE-OTHER mstream handler to client""","['cve', '2000-0138']"
250,tcp,$HOME_NET,15104,->,$EXTERNAL_NET,any,attempted-dos,out,Initial Access,,,,,,,Initial Access,,"""MALWARE-OTHER mstream handler to client""","['cve', '2000-0138']"
251,icmp,$EXTERNAL_NET,any,->,$HOME_NET,any,attempted-dos,inb,Initial Access,,,Initial Access,,,,,,"""PROTOCOL-ICMP - TFN client command LE""","['cve', '2000-0138']"
253,udp,$EXTERNAL_NET,53,->,$HOME_NET,any,bad-unknown,inb,Initial Access,,,Initial Access,,,,,,"""PROTOCOL-DNS SPOOF query response PTR with TTL of 1 min. and no authority""",
254,udp,$EXTERNAL_NET,53,->,$HOME_NET,any,bad-unknown,inb,Initial Access,,,Initial Access,,,,,,"""PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority""",
255,tcp,$EXTERNAL_NET,any,->,$HOME_NET,53,attempted-recon,inb,Reconnaissance,,,Reconnaissance,,,,,,"""PROTOCOL-DNS dns zone transfer via TCP detected""","['cve', '1999-0532']"
256,udp,$EXTERNAL_NET,any,->,$HOME_NET,53,attempted-recon,inb,Reconnaissance,,,Reconnaissance,,,,,,"""PROTOCOL-DNS named authors attempt""","['nessus', '10728']"
257,tcp,$EXTERNAL_NET,any,->,$HOME_NET,53,attempted-recon,inb,Reconnaissance,,,Reconnaissance,,,,,,"""PROTOCOL-DNS named version attempt""","['nessus', '10028']"
258,tcp,$EXTERNAL_NET,any,->,$HOME_NET,53,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""SERVER-OTHER Bind Buffer Overflow via NXT records""","['bugtraq', '788']"
259,tcp,$EXTERNAL_NET,any,->,$HOME_NET,53,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""SERVER-OTHER Bind Buffer Overflow via NXT records named overflow ADM""","['bugtraq', '788']"
260,tcp,$EXTERNAL_NET,any,->,$HOME_NET,53,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""SERVER-OTHER Bind Buffer Overflow via NXT records named overflow ADMROCKS""","['bugtraq', '788']"
261,tcp,$EXTERNAL_NET,any,->,$HOME_NET,53,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""SERVER-OTHER Bind named overflow attempt""","['url', 'www.cert.org/advisories/CA-1998-05.html']"
262,tcp,$EXTERNAL_NET,any,->,$HOME_NET,53,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""OS-LINUX x86 Linux overflow attempt""",
264,tcp,$EXTERNAL_NET,any,->,$HOME_NET,53,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""OS-LINUX x86 Linux overflow attempt""",
265,tcp,$EXTERNAL_NET,any,->,$HOME_NET,53,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""OS-LINUX x86 Linux overflow attempt ADMv2""",
266,tcp,$EXTERNAL_NET,any,->,$HOME_NET,53,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""OS-OTHER x86 FreeBSD overflow attempt""",
267,tcp,$EXTERNAL_NET,any,->,$HOME_NET,53,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""OS-SOLARIS EXPLOIT sparc overflow attempt""",
271,udp,any,19,<>,any,7,attempted-dos,,Initial Access,,,,,,,,,"""SERVER-OTHER UDP echo+chargen bomb""","['cve', '1999-0103']"
272,ip,$EXTERNAL_NET,any,->,$HOME_NET,any,attempted-dos,inb,Initial Access,,,Initial Access,,,,,,"""OS-WINDOWS Microsoft WIndows IGMP dos attack""","['bugtraq', '514']"
274,icmp,$EXTERNAL_NET,any,->,$HOME_NET,any,attempted-dos,inb,Initial Access,,,Initial Access,,,,,,"""PROTOCOL-ICMP ath""","['cve', '1999-1228']"
276,tcp,$EXTERNAL_NET,any,->,$HOME_NET,7070,attempted-dos,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-OTHER RealNetworks Audio Server denial of service attempt""","['cve', '1999-0271']"
277,tcp,$EXTERNAL_NET,any,->,$HOME_NET,7070,attempted-dos,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-OTHER RealNetworks Server template.html""","['bugtraq', '1288']"
278,tcp,$EXTERNAL_NET,any,->,$HOME_NET,8080,attempted-dos,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-OTHER RealNetworks Server template.html""","['bugtraq', '1288']"
279,udp,$EXTERNAL_NET,any,->,$HOME_NET,161,attempted-dos,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-OTHER Bay/Nortel Nautica Marlin""","['bugtraq', '1009']"
281,udp,$EXTERNAL_NET,any,->,$HOME_NET,9,attempted-dos,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-OTHER Ascend Route""","['bugtraq', '714']"
283,tcp,$EXTERNAL_NET,80,->,$HOME_NET,any,attempted-user,inb,Initial Access,,,Initial Access,,,,,,"""BROWSER-OTHER Netscape 4.7 client overflow""","['bugtraq', '822']"
286,tcp,$EXTERNAL_NET,any,->,$HOME_NET,110,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""PROTOCOL-POP EXPLOIT x86 BSD overflow""","['bugtraq', '133']"
287,tcp,$EXTERNAL_NET,any,->,$HOME_NET,110,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""PROTOCOL-POP EXPLOIT x86 BSD overflow""",
288,tcp,$EXTERNAL_NET,any,->,$HOME_NET,110,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""PROTOCOL-POP EXPLOIT x86 Linux overflow""",
289,tcp,$EXTERNAL_NET,any,->,$HOME_NET,110,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""PROTOCOL-POP EXPLOIT x86 SCO overflow""","['bugtraq', '133']"
290,tcp,$EXTERNAL_NET,any,->,$HOME_NET,110,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""PROTOCOL-POP EXPLOIT qpopper overflow""","['bugtraq', '830']"
292,tcp,$EXTERNAL_NET,any,->,$HOME_NET,139,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""OS-LINUX x86 Linux samba overflow""","['bugtraq', '1816']"
300,tcp,$EXTERNAL_NET,any,->,$HOME_NET,2766,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""OS-SOLARIS Oracle Solaris npls x86 overflow""","['bugtraq', '2319']"
301,tcp,$EXTERNAL_NET,any,->,$HOME_NET,515,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""SERVER-OTHER LPRng overflow""","['bugtraq', '1712']"
302,tcp,$EXTERNAL_NET,any,->,$HOME_NET,515,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""OS-LINUX Redhat 7.0 lprd overflow""","['bugtraq', '1712']"
303,tcp,$EXTERNAL_NET,any,->,$HOME_NET,53,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""SERVER-OTHER Bind Buffer Overflow named tsig overflow attempt""","['bugtraq', '2302']"
304,tcp,$EXTERNAL_NET,any,->,$HOME_NET,6373,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""SERVER-OTHER SCO calserver overflow""","['bugtraq', '2353']"
305,tcp,$EXTERNAL_NET,any,->,$HOME_NET,8080,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""SERVER-OTHER delegate proxy overflow""","['bugtraq', '808']"
306,tcp,$EXTERNAL_NET,any,->,$HOME_NET,9090,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""SERVER-OTHER VQServer admin""","['bugtraq', '1610']"
307,tcp,$EXTERNAL_NET,any,->,$HOME_NET,6666:7000,attempted-user,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-OTHER CHAT IRC topic overflow""","['bugtraq', '573']"
308,tcp,$EXTERNAL_NET,21,->,$HOME_NET,any,attempted-user,inb,Initial Access,,,Initial Access,,,,,,"""SERVER-OTHER NextFTP client overflow""","['bugtraq', '572']"
309,tcp,$EXTERNAL_NET,any,->,$SMTP_SERVERS,25,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""SERVER-MAIL sniffit overflow""","['bugtraq', '1158']"
310,tcp,$EXTERNAL_NET,any,->,$SMTP_SERVERS,25,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""SERVER-MAIL x86 windows MailMax overflow""","['bugtraq', '2312']"
311,tcp,$HOME_NET,any,->,$EXTERNAL_NET,80,unsuccessful-user,out,Initial Access,,,,,,,Initial Access,,"""BROWSER-OTHER Netscape 4.7 unsucessful overflow""","['bugtraq', '822']"
313,udp,$EXTERNAL_NET,any,->,$HOME_NET,518,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""OS-LINUX ntalkd x86 Linux overflow""","['bugtraq', '210']"
314,udp,$EXTERNAL_NET,any,->,$HOME_NET,53,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""SERVER-OTHER Bind Buffer Overflow named tsig overflow attempt""","['bugtraq', '2302']"
315,udp,$EXTERNAL_NET,any,->,$HOME_NET,635,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""OS-LINUX x86 Linux mountd overflow""","['bugtraq', '121']"
316,udp,$EXTERNAL_NET,any,->,$HOME_NET,635,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""OS-LINUX x86 Linux mountd overflow""","['bugtraq', '121']"
317,udp,$EXTERNAL_NET,any,->,$HOME_NET,635,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""OS-LINUX x86 Linux mountd overflow""","['bugtraq', '121']"
320,tcp,$EXTERNAL_NET,any,->,$HOME_NET,79,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""PROTOCOL-FINGER cmd_rootsh backdoor attempt""","['nessus', '10070']"
321,tcp,$EXTERNAL_NET,any,->,$HOME_NET,79,attempted-recon,inb,Reconnaissance,,,Reconnaissance,,,,,,"""PROTOCOL-FINGER account enumeration attempt""","['nessus', '10788']"
322,tcp,$EXTERNAL_NET,any,->,$HOME_NET,79,attempted-recon,inb,Reconnaissance,,,Reconnaissance,,,,,,"""PROTOCOL-FINGER search query""","['cve', '1999-0259']"
323,tcp,$EXTERNAL_NET,any,->,$HOME_NET,79,attempted-recon,inb,Reconnaissance,,,Reconnaissance,,,,,,"""PROTOCOL-FINGER root query""",
324,tcp,$EXTERNAL_NET,any,->,$HOME_NET,79,attempted-recon,inb,Reconnaissance,,,Reconnaissance,,,,,,"""PROTOCOL-FINGER null request""","['cve', '1999-0612']"
326,tcp,$EXTERNAL_NET,any,->,$HOME_NET,79,attempted-user,inb,Initial Access,,,Initial Access,,,,,,"""PROTOCOL-FINGER remote command execution attempt""","['bugtraq', '974']"
327,tcp,$EXTERNAL_NET,any,->,$HOME_NET,79,attempted-user,inb,Initial Access,,,Initial Access,,,,,,"""PROTOCOL-FINGER remote command pipe execution attempt""","['bugtraq', '2220']"
328,tcp,$EXTERNAL_NET,any,->,$HOME_NET,79,attempted-dos,inb,Initial Access,,,Initial Access,,,,,,"""PROTOCOL-FINGER bomb attempt""","['cve', '1999-0106']"
330,tcp,$EXTERNAL_NET,any,->,$HOME_NET,79,attempted-recon,inb,Reconnaissance,,,Reconnaissance,,,,,,"""PROTOCOL-FINGER redirection attempt""","['cve', '1999-0105']"
331,tcp,$EXTERNAL_NET,any,->,$HOME_NET,79,attempted-recon,inb,Reconnaissance,,,Reconnaissance,,,,,,"""PROTOCOL-FINGER cybercop query""","['cve', '1999-0612']"
332,tcp,$EXTERNAL_NET,any,->,$HOME_NET,79,attempted-recon,inb,Reconnaissance,,,Reconnaissance,,,,,,"""PROTOCOL-FINGER 0 query""","['cve', '1999-0197']"
333,tcp,$EXTERNAL_NET,any,->,$HOME_NET,79,attempted-recon,inb,Reconnaissance,,,Reconnaissance,,,,,,"""PROTOCOL-FINGER . query""","['cve', '1999-0198']"
334,tcp,$EXTERNAL_NET,any,->,$HOME_NET,21,suspicious-filename-detect,inb,Execution,,,Execution,,,,,,"""PROTOCOL-FTP .forward""",
335,tcp,$EXTERNAL_NET,any,->,$HOME_NET,21,suspicious-filename-detect,inb,Execution,,,Execution,,,,,,"""PROTOCOL-FTP .rhosts""",
336,tcp,$EXTERNAL_NET,any,->,$HOME_NET,21,bad-unknown,inb,Initial Access,,,Initial Access,,,,,,"""PROTOCOL-FTP CWD ~root attempt""","['cve', '1999-0082']"
337,tcp,$EXTERNAL_NET,any,->,$HOME_NET,21,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""PROTOCOL-FTP CEL overflow attempt""","['bugtraq', '679']"
353,tcp,$EXTERNAL_NET,any,->,$HOME_NET,21,suspicious-login,inb,Initial Access,,,Initial Access,,,,,,"""PROTOCOL-FTP adm scan""",
354,tcp,$EXTERNAL_NET,any,->,$HOME_NET,21,suspicious-login,inb,Initial Access,,,Initial Access,,,,,,"""PROTOCOL-FTP iss scan""",
355,tcp,$EXTERNAL_NET,any,->,$HOME_NET,21,suspicious-login,inb,Initial Access,,,Initial Access,,,,,,"""PROTOCOL-FTP pass wh00t""",
356,tcp,$EXTERNAL_NET,any,->,$HOME_NET,21,suspicious-filename-detect,inb,Execution,,,Execution,,,,,,"""PROTOCOL-FTP passwd retrieval attempt""",
357,tcp,$EXTERNAL_NET,any,->,$HOME_NET,21,suspicious-login,inb,Initial Access,,,Initial Access,,,,,,"""PROTOCOL-FTP piss scan""","['url', 'www.mines.edu/fs_home/dlarue/cc/baby-doe.html']"
358,tcp,$EXTERNAL_NET,any,->,$HOME_NET,21,suspicious-login,inb,Initial Access,,,Initial Access,,,,,,"""PROTOCOL-FTP saint scan""",
359,tcp,$EXTERNAL_NET,any,->,$HOME_NET,21,suspicious-login,inb,Initial Access,,,Initial Access,,,,,,"""PROTOCOL-FTP satan scan""",
360,tcp,$EXTERNAL_NET,any,->,$HOME_NET,21,bad-unknown,inb,Initial Access,,,Initial Access,,,,,,"""PROTOCOL-FTP serv-u directory traversal""","['bugtraq', '2052']"
361,tcp,$EXTERNAL_NET,any,->,$HOME_NET,21,bad-unknown,inb,Initial Access,,,Initial Access,,,,,,"""PROTOCOL-FTP SITE EXEC attempt""","['bugtraq', '2241']"
362,tcp,$EXTERNAL_NET,any,->,$HOME_NET,21,bad-unknown,inb,Initial Access,,,Initial Access,,,,,,"""PROTOCOL-FTP tar parameters""","['bugtraq', '2240']"
363,icmp,$EXTERNAL_NET,any,->,$HOME_NET,any,misc-activity,inb,,,,,,,,,,"""PROTOCOL-ICMP IRDP router advertisement""","['bugtraq', '578']"
364,icmp,$EXTERNAL_NET,any,->,$HOME_NET,any,misc-activity,inb,,,,,,,,,,"""PROTOCOL-ICMP IRDP router selection""","['bugtraq', '578']"
365,icmp,$EXTERNAL_NET,any,->,$HOME_NET,any,misc-activity,inb,,,,,,,,,,"""PROTOCOL-ICMP PING undefined code""",
366,icmp,$EXTERNAL_NET,any,->,$HOME_NET,any,misc-activity,inb,,,,,,,,,,"""PROTOCOL-ICMP PING Unix""",
368,icmp,$EXTERNAL_NET,any,->,$HOME_NET,any,misc-activity,inb,,,,,,,,,,"""PROTOCOL-ICMP PING BSDtype""",
369,icmp,$EXTERNAL_NET,any,->,$HOME_NET,any,misc-activity,inb,,,,,,,,,,"""PROTOCOL-ICMP PING BayRS Router""",
370,icmp,$EXTERNAL_NET,any,->,$HOME_NET,any,misc-activity,inb,,,,,,,,,,"""PROTOCOL-ICMP PING BeOS4.x""",
371,icmp,$EXTERNAL_NET,any,->,$HOME_NET,any,misc-activity,inb,,,,,,,,,,"""PROTOCOL-ICMP PING Cisco Type.x""",
372,icmp,$EXTERNAL_NET,any,->,$HOME_NET,any,misc-activity,inb,,,,,,,,,,"""PROTOCOL-ICMP PING Delphi-Piette Windows""",
